Frequency DateTime Pmin Pmax PathLength XStart YStart XEnd YEnd ID
39.2 201208282230 -52 -52 1.5292 6.57222 53.22372 6.5679 53.21023 903
38.105 201208282230 -57 -56 1.42305 6.56015 53.21319 6.57222 53.22372 910
25.382 201208282230 -46 -45 9.5461 6.3973 53.04206 6.52131 53.00002 907
37.968 201208282230 -59 -58 1.66395 6.7396 53.16835 6.76447 53.16784 897
37.986 201208282230 -43 -41 0.42257 6.57528 53.22887 6.57079 53.23154 911
37.912 201208282230 -47 -46 0.66044 6.57372 53.19929 6.58308 53.19738 924
37.978 201208282230 -45 -44 4.29726 6.59599 53.16868 6.58641 53.1305 900
38.077 201208282230 -64 -63 1.01916 6.56015 53.21319 6.57488 53.21558 921
37.912 201208282230 -52 -51 2.88593 6.80701 53.16349 6.76447 53.16784 905
25.382 201208282230 -56 -55 5.86709 6.45154 53.07097 6.48125 53.02138 912
39.337 201208282230 -52 -52 1.61457 6.52131 53.00002 6.54181 53.00762 909
37.94 201208282230 -51 -50 3.76288 6.59599 53.16868 6.63271 53.14307 906
39.267 201208282230 -49 -46 4.36945 6.58921 53.04679 6.56879 53.00951 2920
26.39 201208282230 -54 -54 5.86709 6.48125 53.02138 6.45154 53.07097 915
39.252 201208282230 -50 -50 3.07738 6.57222 53.22372 6.53419 53.23934 914
58.2 201208282230 -32 -32 0.08931 6.55662 53.21479 6.55559 53.21427 916
39.239 201208282230 -52 -51 2.00153 6.55517 53.2025 6.56877 53.21852 917
39.252 201208282230 -46 -46 0.1309 6.56696 53.21897 6.56877 53.21852 920
37.912 201208282230 -54 -54 2.26532 6.87102 53.32334 6.90439 53.32724 925
38.118 201208282230 -44 -43 4.13344 6.57908 53.26064 6.57222 53.22372 931
37.912 201208282230 -54 -53 1.50853 6.91965 53.31928 6.92231 53.33274 926
25.382 201208282230 -50 -49 5.21172 6.74377 53.31 6.70118 53.27074 923
39.252 201208282230 -44 -43 3.55428 6.26213 53.15226 6.30931 53.16696 927
25.102 201208282230 -43 -42 7.15266 6.68916 53.3291 6.76526 53.37445 929
37.912 201208282230 -52 -51 1.34384 6.59218 53.20597 6.60905 53.19939 922
37.986 201208282230 -54 -52 4.07644 6.40562 53.24545 6.35813 53.22243 930
37.096 201208282230 -48 -48 3.90479 6.62579 53.23779 6.57222 53.22372 1000
39.239 201208282230 -57 -56 5.97957 7.12605 53.14836 7.20104 53.17761 935
26.11 201208282230 -43 -42 7.15266 6.76526 53.37445 6.68916 53.3291 932
39.172 201208282230 -52 -52 1.50853 6.92231 53.33274 6.91965 53.31928 937
26.362 201208282230 -51 -48 8.19688 7.12605 53.14836 7.02248 53.10906 939
39.26 201208282230 -45 -45 1.54023 6.54377 53.22834 6.52088 53.23004 940
58.2 201208282230 -42 -42 0.1482 6.57424 53.22427 6.57222 53.22372 928
39.294 201208282230 -46 -46 1.86669 6.53574 53.22304 6.53325 53.20633 934
39.252 201208282230 -43 -43 0.88424 6.58611 53.23344 6.57528 53.22887 1019
39.245 201208282230 -44 -42 0.42257 6.57079 53.23154 6.57528 53.22887 933
37.992 201208282230 -49 -49 2.46689 6.50465 53.21108 6.53574 53.22304 1006
39.172 201208282230 -51 -51 2.26532 6.90439 53.32724 6.87102 53.32334 936
39.252 201208282230 -52 -51 2.46689 6.53574 53.22304 6.50465 53.21108 1011
39.172 201208282230 -45 -45 4.25616 6.45421 53.39719 6.41447 53.36722 1004
39.337 201208282230 -50 -49 2.45419 6.56413 53.22655 6.53419 53.23934 938
37.912 201208282230 -50 -49 3.65512 6.34265 53.1021 6.32889 53.07031 2927
38.328 201208282230 -49 -49 3.49997 6.57222 53.22372 6.52088 53.23004 1002
39.172 201208282230 -48 -48 3.65512 6.32889 53.07031 6.34265 53.1021 2926
26.362 201208282230 -50 -49 9.40842 6.43686 53.14474 6.53325 53.20633 1010
58.2 201208282230 -42 -41 0.1482 6.57424 53.22427 6.57222 53.22372 928
39.375 201208282230 -52 -49 3.07564 6.35516 53.16911 6.30931 53.16696 1001
14.543 201208282230 -52 -51 13.60012 6.47304 53.11703 6.57222 53.22372 1012
39.245 201208282230 -57 -56 4.07644 6.35813 53.22243 6.40562 53.24545 1013
26.39 201208282230 -53 -52 5.90227 6.26425 53.30898 6.21379 53.26541 1014
25.375 201208282230 -47 -46 7.03619 6.50456 53.33418 6.41447 53.36722 1015
18.085 201208282230 -51 -49 14.52881 6.41436 53.134 6.57222 53.22372 1017
39.379 201208282230 -41 -40 4.13344 6.57222 53.22372 6.57908 53.26064 1018
37.999 201208282230 -52 -51 1.70439 6.53325 53.20633 6.54826 53.21872 1007
25.386 201208282230 -52 -51 10.79567 6.47954 53.30324 6.57222 53.22372 1021
37.069 201208282230 -47 -47 3.49997 6.52088 53.23004 6.57222 53.22372 1020
39.172 201208282230 -57 -56 3.60144 6.41436 53.134 6.36834 53.15079 1022
25.354 201208282230 -45 -44 9.40842 6.53325 53.20633 6.43686 53.14474 1023
26.362 201208282230 -52 -51 6.90104 6.80812 53.4503 6.72452 53.41353 1027
38.077 201208282230 -48 -48 0.51743 6.52088 53.23004 6.52701 53.23288 1025
39.172 201208282230 -53 -53 2.00888 6.62517 53.1644 6.59599 53.16868 1028
38.115 201208282230 -45 -45 1.504 7.05273 53.1538 7.05556 53.14039 1030
39.375 201208282230 -56 -56 1.81686 6.57222 53.22372 6.58561 53.20951 1031
37.94 201208282230 -51 -51 1.5943 6.85956 53.10327 6.87999 53.11062 1033
37.999 201208282230 -48 -47 1.54023 6.52088 53.23004 6.54377 53.22834 1032
25.41 201208282230 -49 -47 9.02027 6.53325 53.20633 6.60902 53.13927 1034
37.992 201208282230 -51 -51 3.07738 6.53419 53.23934 6.57222 53.22372 1024
37.912 201208282230 -57 -56 3.60144 6.36834 53.15079 6.41436 53.134 1029
15.271 201208282230 -52 -51 13.60012 6.57222 53.22372 6.47304 53.11703 1035
